timestamp,ip,user,attempts,status,hour,minute,ip_encoded,user_encoded,attempts_per_minute,time_diff,is_attack
2025-04-14 16:38:18,127.0.0.1,test,1,success,16,38,0,2,132,23.0,0
2025-04-14 16:38:25,127.0.0.1,test,1,success,16,38,0,2,132,7.0,0
2025-04-14 16:38:44,127.0.0.1,test,1,success,16,38,0,2,132,19.0,0
2025-04-14 16:38:50,127.0.0.1,test,1,success,16,38,0,2,132,6.0,0
2025-04-14 16:41:04,127.0.0.1,test,1,success,16,41,0,2,132,134.0,0
2025-04-14 16:41:27,127.0.0.1,test,1,success,16,41,0,2,132,23.0,0
2025-04-14 16:42:39,127.0.0.1,test,1,success,16,42,0,2,132,72.0,0
2025-04-14 16:42:46,127.0.0.1,test,1,success,16,42,0,2,132,7.0,0
2025-04-14 16:42:46,127.0.0.1,test,1,success,16,42,0,2,132,0.0,0
2025-04-14 16:43:49,127.0.0.1,test,1,success,16,43,0,2,132,63.0,0
2025-04-14 16:47:21,127.0.0.1,test,57,failed,16,47,0,2,132,212.0,0
2025-04-14 16:47:24,127.0.0.1,test,58,failed,16,47,0,2,132,3.0,1
2025-04-14 16:47:27,127.0.0.1,test,59,failed,16,47,0,2,132,3.0,1
2025-04-14 16:47:31,127.0.0.1,test,60,failed,16,47,0,2,132,4.0,1
2025-04-14 16:47:35,127.0.0.1,test,61,failed,16,47,0,2,132,4.0,1
2025-04-14 16:47:38,127.0.0.1,test,62,failed,16,47,0,2,132,3.0,1
2025-04-14 16:47:43,127.0.0.1,test,63,failed,16,47,0,2,132,5.0,0
2025-04-14 16:47:47,127.0.0.1,test,64,failed,16,47,0,2,132,4.0,1
2025-04-14 16:47:50,127.0.0.1,test,65,failed,16,47,0,2,132,3.0,1
2025-04-14 16:47:54,127.0.0.1,test,66,failed,16,47,0,2,132,4.0,1
2025-04-14 16:47:58,127.0.0.1,test,67,failed,16,47,0,2,132,4.0,1
2025-04-14 16:48:02,127.0.0.1,test,68,failed,16,48,0,2,132,4.0,1
2025-04-14 16:48:06,127.0.0.1,test,69,failed,16,48,0,2,132,4.0,1
2025-04-14 16:48:11,127.0.0.1,test,70,failed,16,48,0,2,132,5.0,0
2025-04-14 16:48:14,127.0.0.1,test,71,failed,16,48,0,2,132,3.0,1
2025-04-14 16:48:18,127.0.0.1,test,72,failed,16,48,0,2,132,4.0,1
2025-04-14 16:48:22,127.0.0.1,test,73,failed,16,48,0,2,132,4.0,1
2025-04-14 16:48:27,127.0.0.1,test,74,failed,16,48,0,2,132,5.0,0
2025-04-14 16:48:31,127.0.0.1,test,75,failed,16,48,0,2,132,4.0,1
2025-04-14 16:48:36,127.0.0.1,test,76,failed,16,48,0,2,132,5.0,0
2025-04-14 16:48:40,127.0.0.1,test,77,failed,16,48,0,2,132,4.0,1
2025-04-14 16:48:44,127.0.0.1,test,78,failed,16,48,0,2,132,4.0,1
2025-04-14 16:48:51,127.0.0.1,test,79,failed,16,48,0,2,132,7.0,0
2025-04-14 16:48:55,127.0.0.1,test,80,failed,16,48,0,2,132,4.0,1
2025-04-14 16:48:59,127.0.0.1,test,81,failed,16,48,0,2,132,4.0,1
2025-04-14 16:49:03,127.0.0.1,test,82,failed,16,49,0,2,132,4.0,1
2025-04-14 16:49:07,127.0.0.1,test,83,failed,16,49,0,2,132,4.0,1
2025-04-14 16:49:12,127.0.0.1,test,84,failed,16,49,0,2,132,5.0,0
2025-04-14 16:49:19,127.0.0.1,test,85,failed,16,49,0,2,132,7.0,0
2025-04-14 16:49:22,127.0.0.1,test,86,failed,16,49,0,2,132,3.0,1
2025-04-14 16:49:47,127.0.0.1,test,1,success,16,49,0,2,132,25.0,0
2025-04-14 16:50:25,127.0.0.1,test,1,success,16,50,0,2,132,38.0,0
2025-04-14 16:50:45,127.0.0.1,test,1,success,16,50,0,2,132,20.0,0
2025-04-14 16:51:52,127.0.0.1,test,1,success,16,51,0,2,132,67.0,0
2025-04-14 16:52:37,127.0.0.1,test,1,success,16,52,0,2,132,45.0,0
2025-04-14 16:53:10,127.0.0.1,test,1,success,16,53,0,2,132,33.0,0
2025-04-14 16:53:34,127.0.0.1,test,1,success,16,53,0,2,132,24.0,0
2025-04-14 16:53:45,127.0.0.1,test,1,success,16,53,0,2,132,11.0,0
2025-04-14 16:54:17,127.0.0.1,test,1,success,16,54,0,2,132,32.0,0
2025-04-14 16:54:48,127.0.0.1,test,1,success,16,54,0,2,132,31.0,0
2025-04-14 16:55:35,127.0.0.1,test,1,success,16,55,0,2,132,47.0,0
2025-04-14 16:55:51,127.0.0.1,test,1,success,16,55,0,2,132,16.0,0
2025-04-14 16:56:52,127.0.0.1,test,1,success,16,56,0,2,132,61.0,0
2025-04-14 17:01:26,127.0.0.1,test,87,failed,17,1,0,2,132,274.0,0
2025-04-14 17:01:30,127.0.0.1,test,88,failed,17,1,0,2,132,4.0,1
2025-04-14 17:01:33,127.0.0.1,test,89,failed,17,1,0,2,132,3.0,1
2025-04-14 17:01:38,127.0.0.1,test,90,failed,17,1,0,2,132,5.0,0
2025-04-14 17:01:41,127.0.0.1,test,91,failed,17,1,0,2,132,3.0,1
2025-04-14 17:01:45,127.0.0.1,test,92,failed,17,1,0,2,132,4.0,1
2025-04-14 17:01:49,127.0.0.1,test,93,failed,17,1,0,2,132,4.0,1
2025-04-14 17:01:52,127.0.0.1,test,94,failed,17,1,0,2,132,3.0,1
2025-04-14 17:01:57,127.0.0.1,test,95,failed,17,1,0,2,132,5.0,0
2025-04-14 17:02:00,127.0.0.1,test,96,failed,17,2,0,2,132,3.0,1
2025-04-14 17:02:04,127.0.0.1,test,97,failed,17,2,0,2,132,4.0,1
2025-04-14 17:02:09,127.0.0.1,test,98,failed,17,2,0,2,132,5.0,0
2025-04-14 17:02:12,127.0.0.1,test,99,failed,17,2,0,2,132,3.0,1
2025-04-14 17:02:17,127.0.0.1,test,100,failed,17,2,0,2,132,5.0,0
2025-04-14 17:02:21,127.0.0.1,test,101,failed,17,2,0,2,132,4.0,1
2025-04-14 17:02:26,127.0.0.1,test,102,failed,17,2,0,2,132,5.0,0
2025-04-14 17:02:29,127.0.0.1,test,103,failed,17,2,0,2,132,3.0,1
2025-04-14 17:02:34,127.0.0.1,test,104,failed,17,2,0,2,132,5.0,0
2025-04-14 17:02:40,127.0.0.1,test,105,failed,17,2,0,2,132,6.0,0
2025-04-14 17:02:44,127.0.0.1,test,106,failed,17,2,0,2,132,4.0,1
2025-04-14 17:02:47,127.0.0.1,test,107,failed,17,2,0,2,132,3.0,1
2025-04-14 17:02:51,127.0.0.1,test,108,failed,17,2,0,2,132,4.0,1
2025-04-14 17:02:55,127.0.0.1,test,109,failed,17,2,0,2,132,4.0,1
2025-04-14 17:03:00,127.0.0.1,test,110,failed,17,3,0,2,132,5.0,0
2025-04-14 17:03:05,127.0.0.1,test,111,failed,17,3,0,2,132,5.0,0
2025-04-14 17:03:10,127.0.0.1,test,112,failed,17,3,0,2,132,5.0,0
2025-04-14 17:03:15,127.0.0.1,test,113,failed,17,3,0,2,132,5.0,0
2025-04-14 17:03:19,127.0.0.1,test,114,failed,17,3,0,2,132,4.0,1
2025-04-14 17:03:23,127.0.0.1,test,115,failed,17,3,0,2,132,4.0,1
2025-04-14 17:03:28,127.0.0.1,test,116,failed,17,3,0,2,132,5.0,0
2025-04-14 17:04:22,127.0.0.1,test,1,success,17,4,0,2,132,54.0,0
2025-04-14 17:04:49,127.0.0.1,test,1,success,17,4,0,2,132,27.0,0
2025-04-14 17:05:14,127.0.0.1,test,1,success,17,5,0,2,132,25.0,0
2025-04-14 17:05:19,127.0.0.1,test,1,success,17,5,0,2,132,5.0,0
2025-04-14 17:05:28,127.0.0.1,test,1,success,17,5,0,2,132,9.0,0
2025-04-14 17:06:36,127.0.0.1,test,1,success,17,6,0,2,132,68.0,0
2025-04-14 17:06:42,127.0.0.1,test,1,success,17,6,0,2,132,6.0,0
2025-04-14 17:06:44,127.0.0.1,test,1,success,17,6,0,2,132,2.0,0
2025-04-14 17:08:00,127.0.0.1,test,1,success,17,8,0,2,132,76.0,0
2025-04-14 17:08:15,127.0.0.1,test,1,success,17,8,0,2,132,15.0,0
2025-04-14 17:09:59,127.0.0.1,test,1,success,17,9,0,2,132,104.0,0
2025-04-14 17:10:07,127.0.0.1,test,1,success,17,10,0,2,132,8.0,0
2025-04-14 17:10:12,127.0.0.1,test,1,success,17,10,0,2,132,5.0,0
2025-04-14 17:10:32,127.0.0.1,test,1,success,17,10,0,2,132,20.0,0
2025-04-14 17:11:04,127.0.0.1,test,1,success,17,11,0,2,132,32.0,0
2025-04-14 17:11:27,127.0.0.1,test,1,success,17,11,0,2,132,23.0,0
2025-04-14 17:11:27,127.0.0.1,test,1,success,17,11,0,2,132,0.0,0
2025-05-04 16:10:47,127.0.0.1,chaima,117,failed,16,10,0,1,50,1724360.0,0
2025-05-04 16:10:53,127.0.0.1,chaima,118,failed,16,10,0,1,50,6.0,0
2025-05-04 16:11:11,127.0.0.1,chaima,119,failed,16,11,0,1,50,18.0,0
2025-05-04 16:11:16,127.0.0.1,chaima,120,failed,16,11,0,1,50,5.0,0
2025-05-04 16:11:20,127.0.0.1,chaima,121,failed,16,11,0,1,50,4.0,1
2025-05-04 16:15:20,127.0.0.1,chaima,1,success,16,15,0,1,50,240.0,0
2025-05-04 16:16:57,127.0.0.1,chaima,1,success,16,16,0,1,50,97.0,0
2025-05-04 16:20:57,127.0.0.1,chaima,1,success,16,20,0,1,50,240.0,0
2025-05-04 16:30:21,unknown,unknown,16,failed,16,30,1,4,8,564.0,0
2025-05-04 16:30:27,unknown,unknown,17,failed,16,30,1,4,8,6.0,0
2025-05-04 16:33:16,unknown,unknown,1,success,16,33,1,4,8,169.0,0
2025-05-04 16:41:29,unknown,admin,18,failed,16,41,1,0,31,493.0,0
2025-05-04 16:41:32,unknown,admin,19,failed,16,41,1,0,31,3.0,1
2025-05-04 16:41:36,unknown,admin,20,failed,16,41,1,0,31,4.0,1
2025-05-04 16:45:54,unknown,unknown,21,failed,16,45,1,4,8,258.0,0
2025-05-04 16:45:58,unknown,unknown,22,failed,16,45,1,4,8,4.0,1
2025-05-04 16:46:03,unknown,unknown,23,failed,16,46,1,4,8,5.0,0
2025-05-04 16:46:30,unknown,admin,1,success,16,46,1,0,31,27.0,0
2025-05-04 16:50:06,unknown,unknown,1,success,16,50,1,4,8,216.0,0
2025-05-04 16:51:29,unknown,admin,1,success,16,51,1,0,31,83.0,0
2025-05-04 16:55:36,unknown,unknown,1,success,16,55,1,4,8,247.0,0
2025-05-04 17:00:27,127.0.0.1,testuser,125,failed,17,0,0,3,18,291.0,0
2025-05-04 17:00:27,127.0.0.1,testuser,123,failed,17,0,0,3,18,0.0,1
2025-05-04 17:00:27,127.0.0.1,testuser,124,failed,17,0,0,3,18,0.0,1
